crop,state,district,price
Castor Seed,Tamil Nadu,Tirunelveli,7000
Cauliflower,Tamil Nadu,Tiruppur,1700
Chili (Red),Tamil Nadu,Tiruvallur,2050
Chrysanthemum,Tamil Nadu,Tiruvannamalai,6400
Cinnamon,Tamil Nadu,Tiruvarur,26750
Cloves,Tamil Nadu,Vellore,72150
Cocoa,Tamil Nadu,Viluppuram,24400
Coconut,Tamil Nadu,Virudhunagar,2700
Coffee,Telangana,Adilabad,24700
Coriander,Telangana,Bhadradri Kothagudem,6750
Cotton,Telangana,Hyderabad,6650
Cowpea (Lobia),Telangana,Jagtial,4900
Cucumber,Telangana,Jangaon,1450
Cumin (Jeera),Telangana,Jayashankar Bhoopalpally,29700
Custard Apple,Telangana,Jogulamba Gadwal,4000
Drumstick (Moringa),Telangana,Kamareddy,2400
Elephant Foot Yam (Suran),Telangana,Karimnagar,2150
Fennel (Saunf),Telangana,Khammam,12600
Fenugreek (Methi),Telangana,Komaram Bheem Asifabad,6200
Finger Millet (Ragi),Telangana,Mahabubabad,3750
French Beans,Telangana,Mahabubnagar,3800
Garlic,Telangana,Mancherial,8800
Ginger,Telangana,Medak,8400
Grapes,Telangana,Medchal,7200
Green Chili,Telangana,Nagarkurnool,3000
Green Gram (Moong),Telangana,Nalgonda,8800
Groundnut,Telangana,Nirmal,6500
Guava,Telangana,Nizamabad,3150
Jackfruit,Telangana,Peddapalli,1400
Jasmine,Telangana,Rajanna Sircilla,12100
Jute,Telangana,Rangareddy,5250
Lemon,Telangana,Sangareddy,5100
Lemongrass,Telangana,Siddipet,5300
Lentil (Masur),Telangana,Suryapet,6250
Lime,Telangana,Vikarabad,4600
Linseed,Telangana,Wanaparthy,5500
Litchi,Telangana,Warangal Rural,8300
Mace,Telangana,Warangal Urban,91800
Maize,Telangana,Yadadri Bhuvanagiri,2150
Mango,Tripura,Dhalai,6400
Marigold,Tripura,Gomati,2500
Mentha (Pudina),Tripura,Khowai,7900
Mesta,Tripura,North Tripura,4900
Muskmelon,Tripura,Sepahijala,1250
Niger Seed,Tripura,South Tripura,8250
Nutmeg,Tripura,Unakoti,45900
Oats,Tripura,West Tripura,2100
Okra (Bhindi),Uttar Pradesh,Aligarh,2100
Onion,Uttar Pradesh,Allahabad,1900
Orange,Uttar Pradesh,Ambedkar Nagar,4550
Orchid,Uttar Pradesh,Amethi Chatrapati Sahuji Mahraj Nagar,20600
Paddy (Dhan),Uttar Pradesh,Amroha JP Nagar,2200
Papaya,Uttar Pradesh,Auraiya,1950
Peach,Uttar Pradesh,Azamgarh,6150
Pear,Uttar Pradesh,Baghpat,5300
Pearl Millet (Bajra),Uttar Pradesh,Bahraich,2550
Peas,Uttar Pradesh,Ballia,3200
Peas (Matar),Uttar Pradesh,Balrampur,4600
Pigeon Peas (Arhar/Tur),Uttar Pradesh,Banda,7250
Pineapple,Uttar Pradesh,Barabanki,3400
Plum,Uttar Pradesh,Bareilly,5550
Pomegranate,Uttar Pradesh,Basti,9450
Potato,Uttar Pradesh,Bhadohi,1500
Pumpkin,Uttar Pradesh,Bijnor,1000
Radish,Uttar Pradesh,Budaun,1050
Rajma,Uttar Pradesh,Bulandshahr,7250
Rapeseed & Mustard,Uttar Pradesh,Chandauli,5750
Ridge Gourd (Torai),Uttar Pradesh,Chitrakoot,1800
Rose,Uttar Pradesh,Deoria,7800
Rubber,Uttar Pradesh,Etah,14400
Safflower,Uttar Pradesh,Etawah,6000
Sesame (Til),Uttar Pradesh,Faizabad,9050
Sorghum (Jowar),Uttar Pradesh,Farrukhabad,3050
Soybean,Uttar Pradesh,Fatehpur,4650
Spinach,Uttar Pradesh,Firozabad,1450
Strawberry,Uttar Pradesh,Gautam Buddha Nagar,12450
Sugarcane,Uttar Pradesh,Ghaziabad,330
Sunflower,Uttar Pradesh,Ghazipur,7150
Sweet Potato,Uttar Pradesh,Gonda,1650
Tamarind,Uttar Pradesh,Gorakhpur,3600
Tea,Uttar Pradesh,Hamirpur,18150
Tobacco,Uttar Pradesh,Hapur Panchsheel Nagar,9300
Tomato,Uttar Pradesh,Hardoi,2350
Tulip,Uttar Pradesh,Hathras,25000
Tulsi (Basil),Uttar Pradesh,Jalaun,4000
Turmeric,Uttar Pradesh,Jaunpur,7500
Turnip,Uttar Pradesh,Jhansi,1250
Watermelon,Uttar Pradesh,Kannauj,810
Wheat,Uttar Pradesh,Kanpur Dehat,2200
Aloe Vera,Uttar Pradesh,Kanpur Nagar,1150
Anthurium,Uttar Pradesh,Kanshiram Nagar Kasganj,14850
Apple,Uttar Pradesh,Kaushambi,8050
Arecanut,Uttar Pradesh,Kushinagar Padrauna,37100
Ashwagandha,Uttar Pradesh,Lakhimpur Kheri,25500
Banana,Uttar Pradesh,Lalitpur,2400
Barley,Uttar Pradesh,Lucknow,1700
Bengal Gram (Chana),Uttar Pradesh,Maharajganj,5750
Bitter Gourd (Karela),Uttar Pradesh,Mahoba,2550
Black Gram (Urad),Uttar Pradesh,Mainpuri,7250
Black Pepper,Uttar Pradesh,Mathura,50500
Bottle Gourd (Lauki),Uttar Pradesh,Mau,1250
Brinjal,Uttar Pradesh,Mirzapur,1750
Cabbage,Uttar Pradesh,Moradabad,1150
Capsicum,Uttar Pradesh,Muzaffarnagar,3700
Cardamom (Elaichi),Uttar Pradesh,Pilibhit,151500
Carnation,Uttar Pradesh,Pratapgarh,10300
Carrot,Uttar Pradesh,RaeBareli,1750
Cashewnut,Uttar Pradesh,Rampur,7500
Castor Seed,Uttar Pradesh,Saharanpur,6100
Cauliflower,Uttar Pradesh,Sambhal Bhim Nagar,1600
Chili (Red),Uttar Pradesh,Sant Kabir Nagar,1900
Chrysanthemum,Uttar Pradesh,Shahjahanpur,5800
Cinnamon,Uttar Pradesh,Shamali Prabuddh Nagar,24500
Cloves,Uttar Pradesh,Shravasti,68900
Cocoa,Uttar Pradesh,Siddharth Nagar,21550
Coconut,Uttar Pradesh,Sitapur,2600
Coffee,Uttar Pradesh,Sonbhadra,25400
Coriander,Uttar Pradesh,Sultanpur,6600
Cotton,Uttar Pradesh,Unnao,6450
Cowpea (Lobia),Uttar Pradesh,Varanasi,5200
Cucumber,Uttarakhand,Almora,1600
Cumin (Jeera),Uttarakhand,Bageshwar,30600
Custard Apple,Uttarakhand,Chamoli,4300
Drumstick (Moringa),Uttarakhand,Champawat,2600
Elephant Foot Yam (Suran),Uttarakhand,Dehradun,2350
Fennel (Saunf),Uttarakhand,Haridwar,12450
Fenugreek (Methi),Uttarakhand,Nainital,6700
Finger Millet (Ragi),Uttarakhand,Pauri Garhwal,4050
French Beans,Uttarakhand,Pithoragarh,4350
Garlic,Uttarakhand,Rudraprayag,9500
Ginger,Uttarakhand,Tehri Garhwal,8200
Grapes,Uttarakhand,Udham Singh Nagar,7600
Green Chili,Uttarakhand,Uttarkashi,3300
Green Gram (Moong),West Bengal,Alipurduar,8450
Groundnut,West Bengal,Bankura,5850
Guava,West Bengal,Birbhum,2750
Jackfruit,West Bengal,Burdwan Bardhaman,1500
Jasmine,West Bengal,Cooch Behar,11500
Jute,West Bengal,Dakshin Dinajpur South Dinajpur,5150
Lemon,West Bengal,Darjeeling,5000
Lemongrass,West Bengal,Hooghly,4900
Lentil (Masur),West Bengal,Howrah,6000
Lime,West Bengal,Jalpaiguri,4750
Linseed,West Bengal,Kalimpong,5150
Litchi,West Bengal,Kolkata,7350
Mace,West Bengal,Malda,89100
Maize,West Bengal,Murshidabad,1900
Mango,West Bengal,Nadia,5500
Marigold,West Bengal,North Twenty Four Parganas,2300
Mentha (Pudina),West Bengal,Paschim Medinipur West Medinipur,8000
Mesta,West Bengal,Purba Medinipur East Medinipur,4450
Muskmelon,West Bengal,Purulia,1100
Niger Seed,West Bengal,South Twenty Four Parganas,7800
Nutmeg,West Bengal,Uttar Dinajpur North Dinajpur,45900
